  0.000000	  1.570796	 -1.570796	  0.000000	  1.570796	  0.000000
  0.000455	  1.594490	 -1.617715	 -0.000717	  1.593431	  0.003652
  0.000913	  1.610932	 -1.650664	 -0.001436	  1.609351	  0.007282
  0.001372	  1.624239	 -1.677574	 -0.002159	  1.622371	  0.010898
  0.001835	  1.635674	 -1.700880	 -0.002886	  1.633661	  0.014502
  0.002299	  1.645828	 -1.721719	 -0.003616	  1.643767	  0.018095
  0.002767	  1.655033	 -1.740730	 -0.004349	  1.652998	  0.021679
  0.003236	  1.663499	 -1.758317	 -0.005086	  1.661548	  0.025255
  0.003708	  1.671366	 -1.774753	 -0.005827	  1.669547	  0.028824
  0.004183	  1.678736	 -1.790233	 -0.006571	  1.677090	  0.032385
  0.004659	  1.685685	 -1.804901	 -0.007319	  1.684246	  0.035939
  0.005139	  1.692271	 -1.818871	 -0.008071	  1.691069	  0.039487
  0.005620	  1.698539	 -1.832229	 -0.008826	  1.697602	  0.043029
  0.006104	  1.704526	 -1.845046	 -0.009585	  1.703878	  0.046565
  0.006591	  1.710262	 -1.857381	 -0.010347	  1.709926	  0.050096
  0.007079	  1.715772	 -1.869282	 -0.011114	  1.715768	  0.053621
  0.007571	  1.721077	 -1.880789	 -0.011884	  1.721424	  0.057142
  0.008064	  1.726195	 -1.891936	 -0.012657	  1.726911	  0.060657
  0.008560	  1.731141	 -1.902754	 -0.013435	  1.732243	  0.064167
  0.009059	  1.735929	 -1.913268	 -0.014216	  1.737432	  0.067673
  0.009559	  1.740571	 -1.923501	 -0.015001	  1.742489	  0.071174
  0.010063	  1.745076	 -1.933472	 -0.015789	  1.747424	  0.074670
  0.010568	  1.749455	 -1.943200	 -0.016582	  1.752246	  0.078162
  0.011076	  1.753714	 -1.952698	 -0.017378	  1.756961	  0.081650
  0.011587	  1.757862	 -1.961983	 -0.018178	  1.761576	  0.085134
  0.012099	  1.761904	 -1.971066	 -0.018981	  1.766098	  0.088613
  0.012615	  1.765847	 -1.979958	 -0.019789	  1.770532	  0.092089
  0.013132	  1.769696	 -1.988671	 -0.020600	  1.774883	  0.095560
  0.013652	  1.773456	 -1.997212	 -0.021415	  1.779155	  0.099027
  0.014174	  1.777131	 -2.005592	 -0.022233	  1.783353	  0.102491
  0.014699	  1.780726	 -2.013817	 -0.023056	  1.787480	  0.105951
  0.015226	  1.784243	 -2.021895	 -0.023882	  1.791540	  0.109407
  0.015755	  1.787688	 -2.029832	 -0.024712	  1.795537	  0.112859
  0.016287	  1.791062	 -2.037636	 -0.025546	  1.799472	  0.116308
