  0.000000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  0.022054	 -0.013949	  0.020173	 -1.548143	  0.038272	  1.558671	  0.000000
  0.044492	 -0.026766	  0.038813	 -1.540499	  0.076866	  1.561944	  0.000000
  0.067263	 -0.038456	  0.055970	 -1.533078	  0.115729	  1.565823	  0.000000
  0.090314	 -0.049021	  0.071689	 -1.525846	  0.154808	  1.570270	  0.000000
  0.113587	 -0.058468	  0.086013	 -1.518769	  0.194042	  1.575247	  0.000000
  0.137022	 -0.066804	  0.098984	 -1.511812	  0.233368	  1.580721	  0.000000
  0.160555	 -0.074038	  0.110641	 -1.504942	  0.272720	  1.586656	  0.000000
  0.184122	 -0.080182	  0.121023	 -1.498125	  0.312029	  1.593021	  0.000000
  0.207658	 -0.085251	  0.130168	 -1.491327	  0.351227	  1.599784	  0.000000
  0.231096	 -0.089264	  0.138112	 -1.484517	  0.390244	  1.606912	  0.000000
  0.254374	 -0.092242	  0.144894	 -1.477662	  0.429011	  1.614377	  0.000000
  0.277426	 -0.094210	  0.150549	 -1.470735	  0.467461	  1.622149	  0.000000
  0.300192	 -0.095195	  0.155113	 -1.463707	  0.505530	  1.630199	  0.000000
  0.322614	 -0.095230	  0.158624	 -1.456553	  0.543157	  1.638500	  0.000000
  0.344636	 -0.094347	  0.161118	 -1.449249	  0.580283	  1.647025	  0.000000
  0.366208	 -0.092582	  0.162631	 -1.441777	  0.616856	  1.655749	  0.000000
  0.387284	 -0.089973	  0.163200	 -1.434117	  0.652827	  1.664646	  0.000000
  0.407820	 -0.086561	  0.162861	 -1.426256	  0.688153	  1.673693	  0.000000
  0.427780	 -0.082387	  0.161650	 -1.418179	  0.722796	  1.682867	  0.000000
  0.447132	 -0.077493	  0.159606	 -1.409879	  0.756723	  1.692145	  0.000000
  0.465847	 -0.071922	  0.156762	 -1.401347	  0.789907	  1.701509	  0.000000
  0.483902	 -0.065717	  0.153157	 -1.392579	  0.822326	  1.710938	  0.000000
  0.501279	 -0.058923	  0.148827	 -1.383574	  0.853964	  1.720414	  0.000000
  0.517964	 -0.051581	  0.143806	 -1.374330	  0.884808	  1.729919	  0.000000
  0.533946	 -0.043734	  0.138132	 -1.364849	  0.914851	  1.739440	  0.000000
  0.549220	 -0.035424	  0.131838	 -1.355136	  0.944091	  1.748959	  0.000000
  0.563782	 -0.026691	  0.124962	 -1.345195	  0.972527	  1.758466	  0.000000
  0.577632	 -0.017573	  0.117536	 -1.335032	  1.000164	  1.767947	  0.000000
  0.590773	 -0.008110	  0.109595	 -1.324655	  1.027010	  1.777392	  0.000000
  0.603210	  0.001664	  0.101173	 -1.314071	  1.053073	  1.786791	  0.000000
  0.614951	  0.011713	  0.092303	 -1.303291	  1.078366	  1.796137	  0.000000
  0.626006	  0.022004	  0.083018	 -1.292323	  1.102903	  1.805422	  0.000000
  0.636383	  0.032506	  0.073349	 -1.281176	  1.126700	  1.814640	  0.000000
  0.646097	  0.043189	  0.063328	 -1.269861	  1.149774	  1.823786	  0.000000
  0.655158	  0.054024	  0.052987	 -1.258387	  1.172141	  1.832856	  0.000000
  0.663583	  0.064986	  0.042354	 -1.246765	  1.193821	  1.841848	  0.000000
  0.671384	  0.076049	  0.031461	 -1.235003	  1.214832	  1.850760	  0.000000
  0.678576	  0.087190	  0.020336	 -1.223111	  1.235193	  1.859590	  0.000000
  0.685176	  0.098386	  0.009008	 -1.211097	  1.254923	  1.868339	  0.000000
  0.691197	  0.109617	 -0.002496	 -1.198971	  1.274040	  1.877006	  0.000000
  0.696656	  0.120864	 -0.014147	 -1.186741	  1.292564	  1.885594	  0.000000
  0.701568	  0.132107	 -0.025919	 -1.174413	  1.310511	  1.894103	  0.000000
  0.705948	  0.143331	 -0.037786	 -1.161994	  1.327899	  1.902537	  0.000000
  0.709810	  0.154518	 -0.049721	 -1.149492	  1.344745	  1.910898	  0.000000
  0.713169	  0.165655	 -0.061699	 -1.136913	  1.361064	  1.919190	  0.000000
  0.716041	  0.176726	 -0.073697	 -1.124260	  1.376871	  1.927416	  0.000000
  0.718438	  0.187720	 -0.085688	 -1.111541	  1.392181	  1.935580	  0.000000
  0.720374	  0.198622	 -0.097649	 -1.098758	  1.407006	  1.943686	  0.000000
  0.721863	  0.209423	 -0.109557	 -1.085916	  1.421359	  1.951740	  0.000000
  0.722917	  0.220110	 -0.121388	 -1.073019	  1.435250	  1.959745	  0.000000
  0.723548	  0.230674	 -0.133120	 -1.060068	  1.448691	  1.967706	  0.000000
  0.723769	  0.241105	 -0.144731	 -1.047068	  1.461691	  1.975629	  0.000000
  0.723591	  0.251393	 -0.156198	 -1.034019	  1.474258	  1.983518	  0.000000
  0.723025	  0.261531	 -0.167501	 -1.020924	  1.486400	  1.991377	  0.000000
  0.722081	  0.271510	 -0.178618	 -1.007785	  1.498123	  1.999212	  0.000000
  0.720770	  0.281322	 -0.189528	 -0.994602	  1.509433	  2.007026	  0.000000
  0.719101	  0.290961	 -0.200212	 -0.981376	  1.520334	  2.014825	  0.000000
  0.717084	  0.300419	 -0.210650	 -0.968109	  1.530832	  2.022611	  0.000000
  0.714727	  0.309690	 -0.220822	 -0.954801	  1.540928	  2.030389	  0.000000
  0.712039	  0.318769	 -0.230709	 -0.941452	  1.550627	  2.038162	  0.000000
  0.709029	  0.327649	 -0.240293	 -0.928063	  1.559928	  2.045933	  0.000000
  0.705703	  0.336326	 -0.249557	 -0.914634	  1.568834	  2.053705	  0.000000
